patch_id,latitude,longitude,poverty_score,poverty_class,population_density
585,13.76663716,5.299925879999999,0.5203956,severely poor,1110.1501
674,13.758303830000001,5.299925879999999,0.5189364,severely poor,962.40594
716,13.758303830000001,5.64992574,0.54623884,severely poor,903.3947
790,13.7499705,5.27492589,0.5066721,severely poor,1536.3954
791,13.7499705,5.283259220000001,0.5003949,severely poor,1642.2987
834,13.7499705,5.64159241,0.57012236,severely poor,1144.0021
835,13.7499705,5.64992574,0.5690926,severely poor,1932.8811
836,13.7499705,5.658259070000001,0.5724343,severely poor,1739.9851
940,13.74163717,5.26659256,0.51628387,severely poor,935.0681
941,13.74163717,5.27492589,0.5071985,severely poor,934.8397
942,13.74163717,5.283259220000001,0.4904471,poor,2676.701
943,13.74163717,5.29159255,0.48865184,poor,3404.9727
944,13.74163717,5.299925879999999,0.5035573,severely poor,2264.0378
986,13.74163717,5.64992574,0.5772531,severely poor,1287.1975
987,13.74163717,5.658259070000001,0.5784672,severely poor,1291.1289
1098,13.733303840000001,5.258259229999999,0.5275749,severely poor,1003.5792
1099,13.733303840000001,5.26659256,0.51900125,severely poor,1327.8904
1100,13.733303840000001,5.27492589,0.50823635,severely poor,1189.0593
1101,13.733303840000001,5.283259220000001,0.49977642,poor,3649.654
1102,13.733303840000001,5.29159255,0.481795,poor,5932.0293
1103,13.733303840000001,5.299925879999999,0.4970447,poor,4142.8457
1104,13.733303840000001,5.30825921,0.5037416,severely poor,1899.8911
1105,13.733303840000001,5.316592539999999,0.5089797,severely poor,1009.30023
1263,13.72497051,5.241592569999999,0.5366162,severely poor,942.81854
1267,13.72497051,5.27492589,0.50833905,severely poor,879.2285
1268,13.72497051,5.283259220000001,0.5043226,severely poor,3278.9377
1269,13.72497051,5.29159255,0.4912486,poor,6230.399
1270,13.72497051,5.299925879999999,0.50554854,severely poor,5981.6084
1271,13.72497051,5.30825921,0.5052356,severely poor,2987.531
1272,13.72497051,5.316592539999999,0.5064606,severely poor,1003.09265
1438,13.716637180000001,5.241592569999999,0.54357857,severely poor,925.6819
1443,13.716637180000001,5.283259220000001,0.50121444,severely poor,2119.2913
1444,13.716637180000001,5.29159255,0.499723,poor,5416.3135
1445,13.716637180000001,5.299925879999999,0.5082601,severely poor,4070.7458
1446,13.716637180000001,5.30825921,0.5119007,severely poor,1694.2949
1448,13.716637180000001,5.32492587,0.51096374,severely poor,967.0404
1627,13.70830385,5.283259220000001,0.49981672,poor,2071.3474
1628,13.70830385,5.29159255,0.4999603,poor,4491.708
1629,13.70830385,5.299925879999999,0.50917065,severely poor,1503.3297
1849,13.69997052,5.283259220000001,0.5020453,severely poor,1801.4263
1850,13.69997052,5.29159255,0.50689447,severely poor,3294.163
1851,13.69997052,5.299925879999999,0.51034373,severely poor,1053.5642
2655,13.67497053,13.333255999999999,0.70402485,severely poor,1254.8011
2656,13.67497053,13.341589329999998,0.71672535,severely poor,1090.4092
2799,13.6666372,5.29159255,0.4948419,poor,918.3379
2912,13.6666372,13.333255999999999,0.71040416,severely poor,1434.0681
2913,13.6666372,13.341589329999998,0.7166215,severely poor,1021.47845
3058,13.658303870000001,5.29159255,0.50006336,severely poor,858.76654
3180,13.658303870000001,13.333255999999999,0.7070482,severely poor,818.464
3328,13.64997054,5.29159255,0.50050306,severely poor,992.47876
3607,13.64163721,5.283259220000001,0.5062799,severely poor,1091.577
3608,13.64163721,5.29159255,0.5071095,severely poor,1128.3439
4615,13.616637220000001,13.258256029999998,0.69962335,severely poor,916.7289
4616,13.616637220000001,13.266589359999998,0.7024747,severely poor,1069.2593
4916,13.60830389,13.258256029999998,0.7058772,severely poor,822.23004
4917,13.60830389,13.266589359999998,0.70313185,severely poor,811.98486
5797,13.5833039,6.09992556,0.72248036,severely poor,1194.3993
5798,13.5833039,6.108258889999999,0.7228653,severely poor,829.98193
6456,13.56663724,6.308258809999999,0.61784184,severely poor,2126.5293
6457,13.56663724,6.31659214,0.607306,severely poor,2344.0012
6458,13.56663724,6.324925469999999,0.62106305,severely poor,1614.9811
6777,13.558303910000001,6.308258809999999,0.6246036,severely poor,2770.5674
6778,13.558303910000001,6.31659214,0.6289632,severely poor,3463.7412
6779,13.558303910000001,6.324925469999999,0.62853724,severely poor,2401.2488
6780,13.558303910000001,6.3332588,0.63512385,severely poor,1118.3463
7102,13.54997058,6.308258809999999,0.6326012,severely poor,2005.697
7103,13.54997058,6.31659214,0.63622355,severely poor,2234.6516
7104,13.54997058,6.324925469999999,0.64051336,severely poor,1665.4098
7105,13.54997058,6.3332588,0.6431813,severely poor,937.1694
9467,13.49163727,5.2249259100000005,0.48869294,poor,1355.8059
9468,13.49163727,5.23325924,0.5035563,severely poor,926.8202
9545,13.49163727,5.874925650000001,0.62497544,severely poor,945.26434
9853,13.48330394,5.2249259100000005,0.5014304,severely poor,1540.8069
9854,13.48330394,5.23325924,0.5062846,severely poor,1191.968
10330,13.47497061,5.85825899,0.61576086,severely poor,863.26794
10332,13.47497061,5.874925650000001,0.62301207,severely poor,1291.5419
10333,13.47497061,5.88325898,0.6239466,severely poor,949.93317
10335,13.47497061,5.89992564,0.61977494,severely poor,1156.6736
10719,13.46663728,5.72492571,0.576253,severely poor,899.96765
10735,13.46663728,5.85825899,0.62066925,severely poor,1001.4254
10738,13.46663728,5.88325898,0.62798727,severely poor,1065.6437
11126,13.458303950000001,5.72492571,0.5912663,severely poor,1153.8625
11127,13.458303950000001,5.733259039999999,0.5967193,severely poor,848.9319
11480,13.44997062,5.26659256,0.48759302,poor,850.564
