patch_id,image_name,poverty_class,poverty_score,longitude,latitude,local_folder,path_tif,path_png,date_start,date_end,cloud_pct_max
0,id0_S2RGB_100px,severely poor,0.8470392,34.34219241293,4.205282599824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id0_S2RGB_100px.png,2015-06-23,2025-08-22,20
1,id1_S2RGB_100px,severely poor,0.86927617,34.35052574293,4.205282599824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id1_S2RGB_100px.png,2015-06-23,2025-08-22,20
2,id2_S2RGB_100px,severely poor,0.85037214,41.84218941293,3.9469493698242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id2_S2RGB_100px.png,2015-06-23,2025-08-22,20
3,id3_S2RGB_100px,severely poor,0.8162875,41.85052274293,3.9469493698242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id3_S2RGB_100px.png,2015-06-23,2025-08-22,20
4,id4_S2RGB_100px,severely poor,0.81922823,41.85885607293,3.9469493698242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id4_S2RGB_100px.png,2015-06-23,2025-08-22,20
5,id5_S2RGB_100px,severely poor,0.8151173,41.86718940293,3.9469493698242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id5_S2RGB_100px.png,2015-06-23,2025-08-22,20
6,id6_S2RGB_100px,severely poor,0.9255218,40.25052338293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id6_S2RGB_100px.png,2015-06-23,2025-08-22,20
7,id7_S2RGB_100px,severely poor,0.84769565,41.20885633293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id7_S2RGB_100px.png,2015-06-23,2025-08-22,20
8,id8_S2RGB_100px,severely poor,0.8211693,41.21718966293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id8_S2RGB_100px.png,2015-06-23,2025-08-22,20
9,id9_S2RGB_100px,severely poor,0.80108756,41.22552299293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id9_S2RGB_100px.png,2015-06-23,2025-08-22,20
10,id10_S2RGB_100px,severely poor,0.8222524,41.83385608293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id10_S2RGB_100px.png,2015-06-23,2025-08-22,20
11,id11_S2RGB_100px,severely poor,0.82121634,41.84218941293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id11_S2RGB_100px.png,2015-06-23,2025-08-22,20
12,id12_S2RGB_100px,severely poor,0.7914245,41.85052274293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id12_S2RGB_100px.png,2015-06-23,2025-08-22,20
13,id13_S2RGB_100px,severely poor,0.7929441,41.85885607293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id13_S2RGB_100px.png,2015-06-23,2025-08-22,20
14,id14_S2RGB_100px,severely poor,0.810228,41.86718940293,3.938616039824219,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id14_S2RGB_100px.png,2015-06-23,2025-08-22,20
15,id15_S2RGB_100px,severely poor,0.81786627,41.20885633293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id15_S2RGB_100px.png,2015-06-23,2025-08-22,20
16,id16_S2RGB_100px,severely poor,0.8097232,41.21718966293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id16_S2RGB_100px.png,2015-06-23,2025-08-22,20
17,id17_S2RGB_100px,severely poor,0.7921742,41.22552299293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id17_S2RGB_100px.png,2015-06-23,2025-08-22,20
18,id18_S2RGB_100px,severely poor,0.80356884,41.23385632293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id18_S2RGB_100px.png,2015-06-23,2025-08-22,20
19,id19_S2RGB_100px,severely poor,0.8297828,41.78385610293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id19_S2RGB_100px.png,2015-06-23,2025-08-22,20
20,id20_S2RGB_100px,severely poor,0.8216732,41.79218943293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id20_S2RGB_100px.png,2015-06-23,2025-08-22,20
21,id21_S2RGB_100px,severely poor,0.8090584,41.82552275293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id21_S2RGB_100px.png,2015-06-23,2025-08-22,20
22,id22_S2RGB_100px,severely poor,0.8278851,41.83385608293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id22_S2RGB_100px.png,2015-06-23,2025-08-22,20
23,id23_S2RGB_100px,severely poor,0.83120936,41.84218941293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id23_S2RGB_100px.png,2015-06-23,2025-08-22,20
24,id24_S2RGB_100px,severely poor,0.8088336,41.85052274293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id24_S2RGB_100px.png,2015-06-23,2025-08-22,20
25,id25_S2RGB_100px,severely poor,0.82828873,41.85885607293,3.93028270982422,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id25_S2RGB_100px.png,2015-06-23,2025-08-22,20
26,id26_S2RGB_100px,severely poor,0.8103078,41.20885633293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id26_S2RGB_100px.png,2015-06-23,2025-08-22,20
27,id27_S2RGB_100px,severely poor,0.80862087,41.21718966293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id27_S2RGB_100px.png,2015-06-23,2025-08-22,20
28,id28_S2RGB_100px,severely poor,0.8059111,41.22552299293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id28_S2RGB_100px.png,2015-06-23,2025-08-22,20
29,id29_S2RGB_100px,severely poor,0.82306063,41.80885609293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id29_S2RGB_100px.png,2015-06-23,2025-08-22,20
30,id30_S2RGB_100px,severely poor,0.82225466,41.81718942293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id30_S2RGB_100px.png,2015-06-23,2025-08-22,20
31,id31_S2RGB_100px,severely poor,0.8139177,41.82552275293,3.9219493798242193,poverty_severely_poor,,/home/annaj/satellite_dataset_kenya/poverty_severely_poor/id31_S2RGB_100px.png,2015-06-23,2025-08-22,20
