patch_id,image_name,poverty_class,poverty_score,longitude,latitude,local_folder,path_tif,path_png,date_start,date_end,cloud_pct_max
0,id0_S2RGB_100px,severely poor,0.5203956,5.299925879999999,13.76663716,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id0_S2RGB_100px.png,2015-06-23,2025-08-21,20
1,id1_S2RGB_100px,severely poor,0.5189364,5.299925879999999,13.75830383,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id1_S2RGB_100px.png,2015-06-23,2025-08-21,20
2,id2_S2RGB_100px,severely poor,0.54623884,5.64992574,13.75830383,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id2_S2RGB_100px.png,2015-06-23,2025-08-21,20
3,id3_S2RGB_100px,severely poor,0.5066721,5.27492589,13.7499705,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id3_S2RGB_100px.png,2015-06-23,2025-08-21,20
4,id4_S2RGB_100px,severely poor,0.5003949,5.283259220000001,13.7499705,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id4_S2RGB_100px.png,2015-06-23,2025-08-21,20
5,id5_S2RGB_100px,severely poor,0.57012236,5.64159241,13.7499705,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id5_S2RGB_100px.png,2015-06-23,2025-08-21,20
6,id6_S2RGB_100px,severely poor,0.5690926,5.64992574,13.7499705,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id6_S2RGB_100px.png,2015-06-23,2025-08-21,20
7,id7_S2RGB_100px,severely poor,0.5724343,5.658259070000001,13.7499705,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id7_S2RGB_100px.png,2015-06-23,2025-08-21,20
8,id8_S2RGB_100px,severely poor,0.51628387,5.26659256,13.74163717,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id8_S2RGB_100px.png,2015-06-23,2025-08-21,20
9,id9_S2RGB_100px,severely poor,0.5071985,5.27492589,13.74163717,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id9_S2RGB_100px.png,2015-06-23,2025-08-21,20
10,id10_S2RGB_100px,poor,0.4904471,5.283259220000001,13.74163717,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id10_S2RGB_100px.png,2015-06-23,2025-08-21,20
11,id11_S2RGB_100px,poor,0.48865184,5.29159255,13.74163717,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id11_S2RGB_100px.png,2015-06-23,2025-08-21,20
12,id12_S2RGB_100px,severely poor,0.5035573,5.299925879999999,13.74163717,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id12_S2RGB_100px.png,2015-06-23,2025-08-21,20
13,id13_S2RGB_100px,severely poor,0.5772531,5.64992574,13.74163717,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id13_S2RGB_100px.png,2015-06-23,2025-08-21,20
14,id14_S2RGB_100px,severely poor,0.5784672,5.658259070000001,13.74163717,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id14_S2RGB_100px.png,2015-06-23,2025-08-21,20
15,id15_S2RGB_100px,severely poor,0.5275749,5.258259229999999,13.73330384,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id15_S2RGB_100px.png,2015-06-23,2025-08-21,20
16,id16_S2RGB_100px,severely poor,0.51900125,5.26659256,13.73330384,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id16_S2RGB_100px.png,2015-06-23,2025-08-21,20
17,id17_S2RGB_100px,severely poor,0.50823635,5.27492589,13.73330384,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id17_S2RGB_100px.png,2015-06-23,2025-08-21,20
18,id18_S2RGB_100px,poor,0.49977642,5.283259220000001,13.73330384,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id18_S2RGB_100px.png,2015-06-23,2025-08-21,20
19,id19_S2RGB_100px,poor,0.481795,5.29159255,13.73330384,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id19_S2RGB_100px.png,2015-06-23,2025-08-21,20
20,id20_S2RGB_100px,poor,0.4970447,5.299925879999999,13.73330384,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id20_S2RGB_100px.png,2015-06-23,2025-08-21,20
21,id21_S2RGB_100px,severely poor,0.5037416,5.30825921,13.73330384,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id21_S2RGB_100px.png,2015-06-23,2025-08-21,20
22,id22_S2RGB_100px,severely poor,0.5089797,5.316592539999999,13.73330384,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id22_S2RGB_100px.png,2015-06-23,2025-08-21,20
23,id23_S2RGB_100px,severely poor,0.5366162,5.241592569999999,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id23_S2RGB_100px.png,2015-06-23,2025-08-21,20
24,id24_S2RGB_100px,severely poor,0.50833905,5.27492589,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id24_S2RGB_100px.png,2015-06-23,2025-08-21,20
25,id25_S2RGB_100px,severely poor,0.5043226,5.283259220000001,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id25_S2RGB_100px.png,2015-06-23,2025-08-21,20
26,id26_S2RGB_100px,poor,0.4912486,5.29159255,13.72497051,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id26_S2RGB_100px.png,2015-06-23,2025-08-21,20
27,id27_S2RGB_100px,severely poor,0.50554854,5.299925879999999,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id27_S2RGB_100px.png,2015-06-23,2025-08-21,20
28,id28_S2RGB_100px,severely poor,0.5052356,5.30825921,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id28_S2RGB_100px.png,2015-06-23,2025-08-21,20
29,id29_S2RGB_100px,severely poor,0.5064606,5.316592539999999,13.72497051,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id29_S2RGB_100px.png,2015-06-23,2025-08-21,20
30,id30_S2RGB_100px,severely poor,0.54357857,5.241592569999999,13.71663718,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id30_S2RGB_100px.png,2015-06-23,2025-08-21,20
31,id31_S2RGB_100px,severely poor,0.50121444,5.283259220000001,13.71663718,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id31_S2RGB_100px.png,2015-06-23,2025-08-21,20
32,id32_S2RGB_100px,poor,0.499723,5.29159255,13.71663718,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id32_S2RGB_100px.png,2015-06-23,2025-08-21,20
33,id33_S2RGB_100px,severely poor,0.5082601,5.299925879999999,13.71663718,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id33_S2RGB_100px.png,2015-06-23,2025-08-21,20
34,id34_S2RGB_100px,severely poor,0.5119007,5.30825921,13.71663718,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id34_S2RGB_100px.png,2015-06-23,2025-08-21,20
35,id35_S2RGB_100px,severely poor,0.51096374,5.32492587,13.71663718,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id35_S2RGB_100px.png,2015-06-23,2025-08-21,20
36,id36_S2RGB_100px,poor,0.49981672,5.283259220000001,13.70830385,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id36_S2RGB_100px.png,2015-06-23,2025-08-21,20
37,id37_S2RGB_100px,poor,0.4999603,5.29159255,13.70830385,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id37_S2RGB_100px.png,2015-06-23,2025-08-21,20
38,id38_S2RGB_100px,severely poor,0.50917065,5.299925879999999,13.70830385,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id38_S2RGB_100px.png,2015-06-23,2025-08-21,20
39,id39_S2RGB_100px,severely poor,0.5020453,5.283259220000001,13.69997052,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id39_S2RGB_100px.png,2015-06-23,2025-08-21,20
40,id40_S2RGB_100px,severely poor,0.50689447,5.29159255,13.69997052,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id40_S2RGB_100px.png,2015-06-23,2025-08-21,20
41,id41_S2RGB_100px,severely poor,0.51034373,5.299925879999999,13.69997052,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id41_S2RGB_100px.png,2015-06-23,2025-08-21,20
42,id42_S2RGB_100px,severely poor,0.70402485,13.333256,13.67497053,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id42_S2RGB_100px.png,2015-06-23,2025-08-21,20
43,id43_S2RGB_100px,severely poor,0.71672535,13.341589329999998,13.67497053,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id43_S2RGB_100px.png,2015-06-23,2025-08-21,20
44,id44_S2RGB_100px,poor,0.4948419,5.29159255,13.6666372,poverty_poor,,/home/annaj/satellite_dataset_nigeria/poverty_poor/id44_S2RGB_100px.png,2015-06-23,2025-08-21,20
45,id45_S2RGB_100px,severely poor,0.71040416,13.333256,13.6666372,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id45_S2RGB_100px.png,2015-06-23,2025-08-21,20
46,id46_S2RGB_100px,severely poor,0.7166215,13.341589329999998,13.6666372,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id46_S2RGB_100px.png,2015-06-23,2025-08-21,20
47,id47_S2RGB_100px,severely poor,0.50006336,5.29159255,13.65830387,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id47_S2RGB_100px.png,2015-06-23,2025-08-21,20
48,id48_S2RGB_100px,severely poor,0.7070482,13.333256,13.65830387,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id48_S2RGB_100px.png,2015-06-23,2025-08-21,20
49,id49_S2RGB_100px,severely poor,0.50050306,5.29159255,13.64997054,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id49_S2RGB_100px.png,2015-06-23,2025-08-21,20
50,id50_S2RGB_100px,severely poor,0.5062799,5.283259220000001,13.64163721,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id50_S2RGB_100px.png,2015-06-23,2025-08-21,20
51,id51_S2RGB_100px,severely poor,0.5071095,5.29159255,13.64163721,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id51_S2RGB_100px.png,2015-06-23,2025-08-21,20
52,id52_S2RGB_100px,severely poor,0.69962335,13.258256029999998,13.61663722,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id52_S2RGB_100px.png,2015-06-23,2025-08-21,20
53,id53_S2RGB_100px,severely poor,0.7024747,13.266589359999998,13.61663722,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id53_S2RGB_100px.png,2015-06-23,2025-08-21,20
54,id54_S2RGB_100px,severely poor,0.7058772,13.258256029999998,13.60830389,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id54_S2RGB_100px.png,2015-06-23,2025-08-21,20
55,id55_S2RGB_100px,severely poor,0.70313185,13.266589359999998,13.60830389,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id55_S2RGB_100px.png,2015-06-23,2025-08-21,20
56,id56_S2RGB_100px,severely poor,0.72248036,6.09992556,13.5833039,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id56_S2RGB_100px.png,2015-06-23,2025-08-21,20
57,id57_S2RGB_100px,severely poor,0.7228653,6.108258889999999,13.5833039,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id57_S2RGB_100px.png,2015-06-23,2025-08-21,20
58,id58_S2RGB_100px,severely poor,0.61784184,6.308258809999999,13.56663724,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id58_S2RGB_100px.png,2015-06-23,2025-08-21,20
59,id59_S2RGB_100px,severely poor,0.607306,6.31659214,13.56663724,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id59_S2RGB_100px.png,2015-06-23,2025-08-21,20
60,id60_S2RGB_100px,severely poor,0.62106305,6.324925469999999,13.56663724,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id60_S2RGB_100px.png,2015-06-23,2025-08-21,20
61,id61_S2RGB_100px,severely poor,0.6246036,6.308258809999999,13.55830391,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id61_S2RGB_100px.png,2015-06-23,2025-08-21,20
62,id62_S2RGB_100px,severely poor,0.6289632,6.31659214,13.55830391,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id62_S2RGB_100px.png,2015-06-23,2025-08-21,20
63,id63_S2RGB_100px,severely poor,0.62853724,6.324925469999999,13.55830391,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id63_S2RGB_100px.png,2015-06-23,2025-08-21,20
64,id64_S2RGB_100px,severely poor,0.63512385,6.3332588,13.55830391,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id64_S2RGB_100px.png,2015-06-23,2025-08-21,20
65,id65_S2RGB_100px,severely poor,0.6326012,6.308258809999999,13.54997058,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id65_S2RGB_100px.png,2015-06-23,2025-08-21,20
66,id66_S2RGB_100px,severely poor,0.63622355,6.31659214,13.54997058,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id66_S2RGB_100px.png,2015-06-23,2025-08-21,20
67,id67_S2RGB_100px,severely poor,0.64051336,6.324925469999999,13.54997058,poverty_severely_poor,,/home/annaj/satellite_dataset_nigeria/poverty_severely_poor/id67_S2RGB_100px.png,2015-06-23,2025-08-21,20
